Area,Sex,Province,Area_Type,Year,Source,Total_Pop,Total_5to25,Higher_Ed_Rate,No_Edu_Rate,SLC_Completion_Rate,Dropout_Proxy_Rate,Currently_Attending_Rate,Never_Attended,CurrAtt_Primary,CurrAtt_LowerSec,CurrAtt_UpperSec,NotAtt_Primary,NotAtt_LowerSec,NotAtt_UpperSec,Education_Level,Attainment_Population,Education_Level_Order
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Early_Childhood,68786,1
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Primary,502245,2
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Lower_Secondary,350491,3
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Upper_Secondary,263205,4
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,SLC_SEE,246914,5
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Intermediate,400427,6
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Graduate,187403,7
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,Post_Graduate,84569,8
Bagmati,Female,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2176790,704718,12.49,2.55,11.34,3.67,66.19,25893,239683,147431,79345,42583,52689,46041,No_Level,55463,9
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,Early_Childhood,81533,1
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,Primary,594193,2
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,Lower_Secondary,419956,3
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,Upper_Secondary,298497,4
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,SLC_SEE,298059,5
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,Intermediate,415675,6
Bagmati,Male,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),2497503,776374,13.6,1.38,11.93,3.04,65.27,23594,267991,157525,81225,54717,65215,39925,Graduate,215503,7
